date,open,high,low,close,tickvol,vol,spread
2023.10.12,0.63992,0.64310,0.63070,0.63137,81034,0,0
2023.10.13,0.63137,0.63344,0.62864,0.62958,73193,0,0
2023.10.16,0.62878,0.63447,0.62878,0.63407,49230,0,0
2023.10.17,0.63425,0.63794,0.63299,0.63646,67149,0,0
2023.10.18,0.63627,0.63930,0.63277,0.63357,57763,0,0
2023.10.19,0.63358,0.63563,0.62956,0.63272,79056,0,0
2023.10.20,0.63274,0.63288,0.62969,0.63115,53855,0,0
2023.10.23,0.63129,0.63484,0.62886,0.63344,50453,0,1
2023.10.24,0.63358,0.63788,0.63286,0.63534,57394,0,1
2023.10.25,0.63463,0.63994,0.63049,0.63084,62752,0,0
2023.10.26,0.63083,0.63303,0.62699,0.63203,71251,0,0
2023.10.27,0.63199,0.63677,0.63177,0.63333,57083,0,0
2023.10.30,0.63363,0.63835,0.63319,0.63687,43225,0,0
2023.10.31,0.63693,0.63737,0.63142,0.63360,58778,0,0
2023.11.01,0.63363,0.63991,0.63177,0.63978,72610,0,0
2023.11.02,0.63979,0.64555,0.63966,0.64332,51211,0,0
2023.11.03,0.64331,0.65180,0.64194,0.65121,60854,0,0
2023.11.06,0.65049,0.65225,0.64847,0.64875,39318,0,0
2023.11.07,0.64877,0.65015,0.64035,0.64348,38525,0,0
2023.11.08,0.64231,0.64490,0.63970,0.64007,35074,0,0
2023.11.09,0.64006,0.64281,0.63630,0.63649,42647,0,0
2023.11.10,0.63647,0.63683,0.63383,0.63596,40047,0,0
2023.11.13,0.63495,0.63910,0.63446,0.63756,36113,0,0
2023.11.14,0.63683,0.65121,0.63601,0.65059,57868,0,3
2023.11.15,0.65043,0.65424,0.64829,0.65068,61255,0,0
2023.11.16,0.65003,0.65164,0.64604,0.64661,51252,0,0
2023.11.17,0.64622,0.65155,0.64522,0.65138,40896,0,0
2023.11.20,0.65038,0.65644,0.65005,0.65550,42778,0,0
2023.11.21,0.65524,0.65892,0.65440,0.65546,47111,0,3
2023.11.22,0.65580,0.65693,0.65210,0.65408,45125,0,0
2023.11.23,0.65350,0.65741,0.65310,0.65552,17998,0,0
2023.11.24,0.65482,0.65906,0.65482,0.65808,18716,0,0
2023.11.27,0.65780,0.66136,0.65665,0.66061,24131,0,0
2023.11.28,0.66058,0.66653,0.65962,0.66469,28754,0,2
2023.11.29,0.66475,0.66758,0.66054,0.66156,32782,0,0
2023.11.30,0.66086,0.66501,0.65707,0.66037,48912,0,0
2023.12.01,0.66017,0.66754,0.65995,0.66750,40904,0,0
2023.12.04,0.66627,0.66898,0.66047,0.66183,39248,0,0
2023.12.05,0.66178,0.66216,0.65441,0.65504,45220,0,0
2023.12.06,0.65443,0.65970,0.65406,0.65472,35695,0,0
2023.12.07,0.65464,0.66195,0.65254,0.65951,43619,0,0
2023.12.08,0.65930,0.66195,0.65581,0.65725,44829,0,0
2023.12.11,0.65665,0.65826,0.65499,0.65675,33911,0,0
2023.12.12,0.65675,0.66121,0.65397,0.65582,32491,0,0
2023.12.13,0.65567,0.66730,0.65413,0.66600,37434,0,0
2023.12.14,0.66581,0.67282,0.66517,0.66973,52676,0,0
2023.12.15,0.66927,0.67283,0.66631,0.67000,66425,0,0
2023.12.18,0.66970,0.67352,0.66901,0.67050,56272,0,0
2023.12.19,0.67028,0.67745,0.67004,0.67610,60200,0,0
2023.12.20,0.67623,0.67789,0.67231,0.67296,65100,0,3
2023.12.21,0.67290,0.68029,0.67149,0.68007,67061,0,0
2023.12.22,0.68008,0.68248,0.67730,0.67956,65790,0,1
2023.12.25,0.67920,0.67927,0.67792,0.67883,109,0,90
2023.12.26,0.68018,0.68267,0.67870,0.68233,31910,0,0
2023.12.27,0.68234,0.68515,0.68153,0.68454,45330,0,0
2023.12.28,0.68434,0.68710,0.68239,0.68272,56336,0,1
2023.12.29,0.68234,0.68460,0.67811,0.68069,55669,0,3
